seq,send_time,receive_time,latency_ms,payload_size_bytes
2,1782737062.6069171,1782737062.698664,91.74680709838867,256
3,1782737062.7071347,1782737062.7773602,70.22547721862793,256
4,1782737062.8073075,1782737062.8468137,39.50619697570801,256
5,1782737062.9072983,1782737062.9889307,81.63237571716309,256
6,1782737063.0073318,1782737063.0498557,42.523860931396484,256
7,1782737063.107289,1782737063.1497357,42.44661331176758,256
8,1782737063.2072167,1782737063.2498164,42.59967803955078,256
9,1782737063.3072546,1782737063.3498232,42.56868362426758,256
10,1782737063.4072437,1782737063.450045,42.8013801574707,256
11,1782737063.5070596,1782737063.5516424,44.58284378051758,256
12,1782737063.607299,1782737063.6523383,45.03917694091797,256
13,1782737063.707267,1782737063.7508364,43.569326400756836,256
14,1782737063.8073015,1782737063.8498592,42.557716369628906,256
15,1782737063.9072084,1782737064.0344162,127.20775604248047,256
16,1782737064.0071588,1782737064.0499003,42.74153709411621,256
17,1782737064.1072264,1782737064.1497052,42.47879981994629,256
18,1782737064.2071905,1782737064.2499337,42.74320602416992,256
19,1782737064.307219,1782737064.349715,42.4959659576416,256
20,1782737064.407204,1782737064.4503376,43.13373565673828,256
21,1782737064.507283,1782737064.5545926,47.30963706970215,256
22,1782737064.6072762,1782737064.6716356,64.35942649841309,256
23,1782737064.707246,1782737064.7509649,43.718814849853516,256
24,1782737064.8072605,1782737064.8500748,42.81425476074219,256
25,1782737064.9072073,1782737064.9506342,43.4269905090332,256
26,1782737065.007257,1782737065.0852742,78.0172348022461,256
27,1782737065.1072743,1782737065.1516948,44.420480728149414,256
28,1782737065.2072582,1782737065.2513971,44.13890838623047,256
29,1782737065.3072088,1782737065.3518574,44.64864730834961,256
30,1782737065.4073076,1782737065.4531174,45.80974578857422,256
31,1782737065.5071971,1782737065.5528057,45.6085205078125,256
32,1782737065.607212,1782737065.6569273,49.715280532836914,256
33,1782737065.7070534,1782737065.7617047,54.65126037597656,256
34,1782737065.8071485,1782737065.8509617,43.813228607177734,256
35,1782737065.9072256,1782737065.9522624,45.03679275512695,256
36,1782737066.007215,1782737066.1305392,123.32415580749512,256
37,1782737066.1072834,1782737066.1846113,77.32796669006348,256
38,1782737066.2071846,1782737066.246338,39.153337478637695,256
39,1782737066.3072286,1782737066.360577,53.348541259765625,256
40,1782737066.407272,1782737066.458475,51.203012466430664,256
41,1782737066.5070431,1782737066.5630376,55.994510650634766,256
42,1782737066.6072361,1782737066.6638532,56.617021560668945,256
43,1782737066.7072453,1782737066.7920194,84.77401733398438,256
44,1782737066.8072262,1782737066.8680112,60.78505516052246,256
45,1782737066.9071903,1782737066.971926,64.73565101623535,256
46,1782737067.0073276,1782737067.0802975,72.96991348266602,256
47,1782737067.1072192,1782737067.1804984,73.27914237976074,256
48,1782737067.207219,1782737067.2508845,43.66564750671387,256
49,1782737067.3072448,1782737067.351484,44.23928260803223,256
50,1782737067.4072316,1782737067.453845,46.613454818725586,256
51,1782737067.507281,1782737067.5520172,44.73614692687988,256
52,1782737067.6072607,1782737067.6505919,43.331146240234375,256
53,1782737067.707275,1782737067.7509983,43.723344802856445,256
54,1782737067.8072295,1782737067.8543634,47.1339225769043,256
55,1782737067.9072285,1782737067.9503214,43.092966079711914,256
56,1782737068.0072336,1782737068.054361,47.127485275268555,256
57,1782737068.1072288,1782737068.227812,120.58329582214355,256
58,1782737068.2071352,1782737068.2518322,44.69704627990723,256
59,1782737068.307226,1782737068.3510976,43.87164115905762,256
60,1782737068.4072702,1782737068.4503644,43.09415817260742,256
61,1782737068.507225,1782737068.5502799,43.054819107055664,256
62,1782737068.6072094,1782737068.6820426,74.83315467834473,256
63,1782737068.7071798,1782737068.7496204,42.44065284729004,256
64,1782737068.8072376,1782737068.8499196,42.68193244934082,256
65,1782737068.9072387,1782737068.9512894,44.05069351196289,256
66,1782737069.0072374,1782737069.0512471,44.00968551635742,256
67,1782737069.1072955,1782737069.1512387,43.943166732788086,256
68,1782737069.2071478,1782737069.2760987,68.95089149475098,256
69,1782737069.3072715,1782737069.3508525,43.58100891113281,256
70,1782737069.4072204,1782737069.4518158,44.59547996520996,256
71,1782737069.5072112,1782737069.5511258,43.9145565032959,256
72,1782737069.6072655,1782737069.6513748,44.109344482421875,256
73,1782737069.7072089,1782737069.7521522,44.94333267211914,256
74,1782737069.8072479,1782737069.8529537,45.70579528808594,256
75,1782737069.9072227,1782737069.9529717,45.74894905090332,256
76,1782737070.007184,1782737070.0495787,42.39463806152344,256
77,1782737070.1072013,1782737070.1494133,42.21200942993164,256
78,1782737070.2072356,1782737070.325574,118.33834648132324,256
79,1782737070.3066227,1782737070.354881,48.258304595947266,256
80,1782737070.4072146,1782737070.4695852,62.37053871154785,256
81,1782737070.5071843,1782737070.5520532,44.86894607543945,256
82,1782737070.6072493,1782737070.6548538,47.60456085205078,256
83,1782737070.7072737,1782737070.7571638,49.89004135131836,256
84,1782737070.8072267,1782737070.8588703,51.64361000061035,256
85,1782737070.9072402,1782737070.991369,84.12885665893555,256
86,1782737071.0072258,1782737071.0646281,57.40237236022949,256
87,1782737071.107255,1782737071.1667595,59.50450897216797,256
88,1782737071.207226,1782737071.2738664,66.64037704467773,256
89,1782737071.307225,1782737071.3752844,68.05944442749023,256
90,1782737071.4072685,1782737071.457908,50.63939094543457,256
91,1782737071.5072231,1782737071.55048,43.25675964355469,256
92,1782737071.607287,1782737071.6513581,44.071197509765625,256
93,1782737071.7070587,1782737071.7504902,43.43152046203613,256
94,1782737071.8072414,1782737071.852536,45.29452323913574,256
95,1782737071.907197,1782737071.9508905,43.69354248046875,256
96,1782737072.0072114,1782737072.051302,44.09050941467285,256
97,1782737072.1072805,1782737072.1543608,47.080278396606445,256
98,1782737072.2072046,1782737072.2567003,49.495697021484375,256
99,1782737072.3073075,1782737072.4225178,115.21029472351074,256
100,1782737072.407218,1782737072.4494643,42.246341705322266,256
